brand	category	name	imageUrl	id
Schwarzkopf	out-bath-milk	ファイバープレックス No.4 ボンド セラム	data/products/images/ファイバープレックス_No.4_ボンド_セラム_100g.png	schwarzkopf-fibreplex-no4serum
System Professional	shampoo	システム プロフェッショナル H1 ハイドレートシャンプー	data/products/images/SP_HYDRATE_Shampoo_公式.jpeg	syspro-hydrate-sh
System Professional	mask	システム プロフェッショナル H2 ハイドレートマスク	data/products/images/SP_HYDRATE_Mask_公式.jpeg	syspro-hydrate-mask
System Professional	shampoo	システム プロフェッショナル LO ラグジュアリーオイル ケラチンプロテクトシャンプー	data/products/images/SP_LUXE_Shampoo_公式.jpeg	syspro-luxeoil-sh
System Professional	treatment	システム プロフェッショナル LO ラグジュアリーオイル ケラチンコンディショニングクリーム	data/products/images/SP_LUXE_Cream_公式.jpeg	syspro-luxeoil-tr
System Professional	mask	システム プロフェッショナル LO ラグジュアリーオイル ケラチンリストアマスク	data/products/images/SP_LUXE_RestoreMask_公式.jpeg	syspro-luxeoil-mask
System Professional	outbath-oil	システム プロフェッショナル LO ラグジュアリーオイル リコンストラクティブエリクサー	data/products/images/SP_LUXE_Oil_公式.jpeg	syspro-luxeoil-elixir
System Professional	shampoo	システム プロフェッショナル C1 カラーセーブシャンプー	data/products/images/SP_COLOR_SAVE_Shampoo_公式.jpeg	syspro-colorsave-sh
System Professional	mask	システム プロフェッショナル C2 カラーセーブマスク	data/products/images/SP_COLOR_SAVE_Mask_公式.jpeg	syspro-colorsave-mask
System Professional	shampoo	システム プロフェッショナル V1 ボリュマイズシャンプー	data/products/images/SP_VOLUMIZE_Shampoo_公式.jpeg	syspro-volumize-sh
System Professional	mask	システム プロフェッショナル B3 ブロンドリバイブマスク	data/products/images/システム_リュクス_ケラチン_プロテクト_インテンス_マスク_200ml.png	syspro-blond-mask
System Professional	shampoo	システム プロフェッショナル R1 リペアシャンプー	data/products/images/SP_REPAIR_Shampoo_公式.jpeg	syspro-repair-sh
System Professional	treatment	システム プロフェッショナル R2 リペアコンディショナー	data/products/images/SP_REPAIR_Conditioner_公式.jpeg	syspro-repair-co
System Professional	mask	システム プロフェッショナル R3 リペアマスク	data/products/images/SP_REPAIR_Mask_公式.jpeg	syspro-repair-mask
System Professional	outbath-mousse	システム プロフェッショナル パーフェクトヘア	data/products/images/SP_REPAIR_PerfectHair_公式.jpeg	syspro-repair-perfecthair
System Professional	treatment	システム プロフェッショナル H3 ハイドレートコンディショナー	data/products/images/SP_HYDRATE_Conditioner_公式.jpeg	syspro-hydrate-co
System Professional	outbath-water	システム プロフェッショナル H クエンチング ミスト	data/products/images/SP_HYDRATE_QuenchingMist_公式.jpeg	syspro-hydrate-mist
System Professional	outbath-mist	システム プロフェッショナル LO ケラチンブーストエッセンス	data/products/images/SP_LUXE_BoostEssence_公式.jpeg	syspro-luxeoil-boost
System Professional	treatment	システム プロフェッショナル C3 カラーセーブコンディショナー	data/products/images/SP_COLOR_SAVE_Conditioner_公式.jpeg	syspro-colorsave-co
System Professional	outbath-water	システム プロフェッショナル C バイフェーズ コンディショニング スプレー	data/products/images/SP_COLOR_SAVE_BiPhase_公式.jpeg	syspro-colorsave-bispray
System Professional	outbath-oil	システム プロフェッショナル C カラーセーブフルイド	data/products/images/SP_COLOR_SAVE_Fluid_公式.jpeg	syspro-colorsave-fluid
System Professional	shampoo	システム プロフェッショナル S1 スムーセンシャンプー	data/products/images/SP_SMOOTHEN_Shampoo_公式.jpeg	syspro-smoothen-sh
System Professional	treatment	システム プロフェッショナル S2 スムーセンコンディショナー	data/products/images/SP_SMOOTHEN_Conditioner_公式.jpeg	syspro-smoothen-co
System Professional	mask	システム プロフェッショナル S3 スムーセンマスク	data/products/images/SP_SMOOTHEN_Mask_公式.jpeg	syspro-smoothen-mask
System Professional	mask	システム プロフェッショナル V2 ボリュマイズマスク	data/products/images/SP_VOLUMIZE_Mask_公式.jpeg	syspro-volumize-mask
System Professional	outbath-mousse	システム プロフェッショナル V エアロリフター	data/products/images/SP_VOLUMIZE_Aerolifter_公式.jpeg	syspro-volumize-aerolifter
System Professional	shampoo	システム プロフェッショナル B1 バランスシャンプー	data/products/images/SP_BALANCE_Shampoo_公式.jpeg	syspro-balance-sh
System Professional	mask	システム プロフェッショナル B2 バランスマスク	data/products/images/SP_BALANCE_Mask_公式.jpeg	syspro-balance-mask
System Professional	scalp-essence	システム プロフェッショナル B エナジーセラム	data/products/images/SP_BALANCE_EnergySerum_公式.jpeg	syspro-balance-energyserum
System Professional	scalp-essence	システム プロフェッショナル B バランスローション	data/products/images/SP_BALANCE_Lotion_公式.jpeg	syspro-balance-lotion
System Professional	shampoo	システム プロフェッショナル ソラ― シャンプー	data/products/images/SP_SOLAR_Shampoo_公式.jpeg	syspro-solar-sh
System Professional	treatment	システム プロフェッショナル ソラ― ハイドロリペア クリーム	data/products/images/SP_SOLAR_HydroRepairCream_公式.jpeg	syspro-solar-hydrocream
System Professional	outbath-oil	システム プロフェッショナル ソラ― サン オイル	data/products/images/SP_SOLAR_SunOil_公式.jpeg	syspro-solar-sunoil
System Professional	outbath-cream	システム プロフェッショナル ソラ― シーリング クリーム	data/products/images/SP_SOLAR_Cream_公式.jpeg	syspro-solar-sealing
System Professional	shampoo	システム プロフェッショナル マン トリプル シャンプー	data/products/images/SP_MAN_TripleShampoo_公式.jpeg	syspro-man-triplesh
System Professional	outbath-oil	システム プロフェッショナル マン ヘア&ビアード オイル	data/products/images/SP_MAN_HairBeardOil_公式.jpeg	syspro-man-beardoil
System Professional	booster	システム プロフェッショナル エクストラ リピッドブースター	data/products/images/SP_EXTRA_LipidBooster_公式.jpeg	syspro-extra-lipidbooster
System Professional	scalp-essence	システム プロフェッショナル エクストラ アルファエナジー	data/products/images/SP_EXTRA_AlphaEnergy_公式.jpeg	syspro-extra-alphaenergy
System Professional	booster	システム プロフェッショナル エクストラ エラスティック フォース	data/products/images/SP_EXTRA_ElasticForce_公式.jpeg	syspro-extra-elasticforce
SEE/SAW	outbath-milk	SEE/SAW クリアミルク ナチュラル	data/products/images/SEE_SAW_クリアミルクナチュラル_80ml.jpg	seesaw-hairmake-milk
Davines	shampoo	エッセンシャル ヌヌ シャンプー	data/products/images/Davines_Nunu_Shampoo.png	davines-nounou-sh
Davines	treatment	エッセンシャル ヌヌ コンディショナー	data/products/images/Davines_NOUNOU_コンディショナー_250ml_公式.jpg	davines-nounou-co
Davines	shampoo	エッセンシャル デデ シャンプー	data/products/images/Davines_DEDE_シャンプー_250ml_公式.jpg	davines-dede-sh
Davines	treatment	エッセンシャル デデ コンディショナー	data/products/images/Davines_DEDE_コンディショナー_250ml_公式.jpg	davines-dede-co
Davines	shampoo	エッセンシャル ソル シャンプー	data/products/images/Davines_SOLU_シャンプー_250ml_公式.jpg	davines-solu-sh
Davines	outbath-milk	オイ オールインワン ミルク	data/products/images/Davines_OI_オールインワンミルク_135ml_公式.jpg	davines-oi-allinonemilk
Davines	outbath-butter	オイ ハイ ロングラスティング ヘアバター	data/products/images/Davines_OI_ヘアバター_250ml_公式.jpg	davines-oi-hairbutter
Davines	outbath-mousse	オイ ボリュマイジング スフレ	data/products/images/Davines_OI_スフレ_125ml_公式.jpg	davines-oi-souffle
Davines	outbath-oil	オーセンティック オイル	data/products/images/Davines_Authentic_Nourishing_Oil.jpg	davines-authentic-oil
Davines	outbath-cream	オーセンティック ネクター	data/products/images/Davines_オーセンティック_リプレニッシングバター_230ml_公式.jpg	davines-authentic-nectar
Davines	shampoo	ナチュラルテック ノーリッシング シャンプー	data/products/images/Davines_Naturaltech_NOURISHING_SH_公式.jpg	davines-naturaltech-nourishing-sh
Davines	shampoo	ナチュラルテック リバランシング シャンプー	data/products/images/Davines_Naturaltech_REBALANCING_SH_公式.jpg	davines-naturaltech-rebalancing-sh
Davines	shampoo	ナチュラルテック カーミング シャンプー	data/products/images/Davines_Naturaltech_CALMING_SH_公式.jpg	davines-naturaltech-calming-sh
Davines	shampoo	ナチュラルテック ピュリファイング シャンプー	data/products/images/Davines_Naturaltech_PURIFYING_SH_公式.jpg	davines-naturaltech-purifying-sh
Davines	shampoo	ナチュラルテック エナジャイジング シャンプー	data/products/images/Davines_Naturaltech_ENERGIZING_SH_公式.jpg	davines-naturaltech-energizing-sh
Davines	scalp-essence	ナチュラルテック エナジャイジング スーパーアクティブ	data/products/images/Davines_Naturaltech_Energizing_Super_Active.png	davines-naturaltech-energizing-lotion
Davines	shampoo	ハートオブグラス シルケニング シャンプー	data/products/images/Davines_Heart_of_Glass_Silkening_Shampoo.png	davines-heartofglass-sh
Davines	outbath-oil	ハートオブグラス シーリング シャインドロップス	data/products/images/Davines_Heart_of_Glass_Sealing_Shine_Drops.png	davines-heartofglass-sealingdrops
Davines	styling	モアインサイド ディファイニング フルイド (フィオナ)	data/products/images/Davines_More_Inside_Defining_Fluid_Fiona.png	davines-moreinside-fiona
Oggi otto	shampoo	インプレッシブPPTセラム SS [スムース]	data/products/images/Oggi_PPT_SS_公式.png	oggiotto-ppt-ss
Oggi otto	shampoo	インプレッシブPPTセラム MS [モイスチャー]	data/products/images/Oggi_PPT_MS_公式.png	oggiotto-ppt-ms
Oggi otto	shampoo	インプレッシブPPTセラム VS [ボリューム]	data/products/images/Oggi_PPT_VS_公式.png	oggiotto-ppt-vs
Oggi otto	mask	インプレッシブPPTセラムマスク SM [スムース]	data/products/images/Oggi_PPT_MaskSM_公式.png	oggiotto-ppt-mask-sm
Oggi otto	mask	インプレッシブPPTセラムマスク MM [モイスチャー]	data/products/images/Oggi_PPT_MaskMM_公式.png	oggiotto-ppt-mask-mm
Oggi otto	treatment	アイスミント エッセンス	data/products/images/Oggi_IceMint_公式.png	oggiotto-icemint
Oggi otto	scalp-essence	アロマスキャルプエッセンス [カルム]	data/products/images/Oggi_AromaScalp_Calm_公式.png	oggiotto-aroma-calm
Oggi otto	scalp-essence	アロマスキャルプエッセンス [ヴィータ]	data/products/images/Oggi_AromaScalp_Vita_公式.png	oggiotto-aroma-vita
Oggi otto	shampoo	インプレッシブ セラム ブラック	data/products/images/Oggi_DrS_BlackSerum_公式.png	oggiotto-drs-black-sh
Oggi otto	mask	インプレッシブ セラムマスク ブラック	data/products/images/Oggi_DrS_BlackMask_公式.png	oggiotto-drs-black-mask
Oggi otto	scalp-essence	スキャルプケアジェル	data/products/images/Oggi_DrS_ScalpGel_公式.png	oggiotto-drs-scalpgel
Oggi otto	scalp-essence	スキャルプエイド セラムマスク	data/products/images/Oggi_DrS_ScalpAid_公式.png	oggiotto-drs-scalpaid
Oggi otto	scalp-essence	アロマスキャルプエッセンス SOIL CRASCI	data/products/images/Oggi_DrS_SOIL_公式.png	oggiotto-drs-soilcrasci
Oggi otto	shampoo	OGGI MUTA グランドセラム	data/products/images/OGGI_MUTA_グランドセラム_公式.jpg	oggiotto-muta-sh
Oggi otto	mask	OGGI MUTA グランドセラムマスク スムース	data/products/images/OGGI_MUTA_グランドセラムマスク_スムース_公式.jpg	oggiotto-muta-mask-smooth
Oggi otto	mask	OGGI MUTA グランドセラムマスク モイスチャー	data/products/images/OGGI_MUTA_グランドセラムマスク_モイスチャー_公式.jpg	oggiotto-muta-mask-moisture
Oggi otto	outbath-water	OGGI MUTA グランドミスト	data/products/images/OGGI_MUTA_Grand_Mist.png	oggiotto-muta-mist
Oggi otto	outbath-milk	OGGI MUTA グランドエマルジョン	data/products/images/OGGI_MUTA_Grand_Emulsion.png	oggiotto-muta-emulsion
Oggi otto	outbath-oil	OGGI MUTA グランドオイル	data/products/images/OGGI_MUTA_Grand_Oil.png	oggiotto-muta-oil
Oggi otto	outbath-mousse	エアウィップ	data/products/images/Oggi_AirWhip_公式.png	oggiotto-airwhip
Oggi otto	outbath-butter	ボタニカル リッチ バーム	data/products/images/Oggi_BotanicalBalm_公式.png	oggiotto-botanicalbalm
Oggi otto	outbath-oil	ボタニカル リッチ オイルスプレー	data/products/images/Oggi_BotanicalOilSpray_公式.png	oggiotto-botanicaloilspray
Oggi otto	outbath-oil	アメージングケア オイル	data/products/images/Oggi_AmazingCareOil_公式.png	oggiotto-amazingoil
レブリ	shampoo	ハホニコ レブリ シャンプーα	data/products/images/Levuli_Shampoo_Alpha.png	hahonico-levuli-sh
レブリ	treatment	ハホニコ レブリ トリートメントα	data/products/images/Levuli_Treatment_Alpha.png	hahonico-levuli-tr
レブリ	treatment	ハホニコ レブリ インナー ヘアトリートメント	data/products/images/Levuli_Inner_Hair_Treatment.png	hahonico-levuli-inner
レブリ	treatment	ハホニコ レブリ アウター ヘアトリートメント	data/products/images/Levuli_Outer_Hair_Treatment.png	hahonico-levuli-outer
レブリ	outbath-water	ハホニコ レブリ ヘアーローションα	data/products/images/Levuli_Hair_Lotion_Alpha.png	hahonico-levuli-lotion
レブリ	booster	ハホニコ レブリ ベルベット ブースターA	data/products/images/Velvet_Booster_A.png	hahonico-levuli-velvet
レブリ	booster	ハホニコ レブリ シルキー ブースターB	data/products/images/Silky_Booster_B.png	hahonico-levuli-silky
SUWAE	shampoo	suwae リラクシング シャンプー	data/products/images/スワエ_リラクシング_シャンプー_200ml.jpg	milbon-suwae-sh
SUWAE	treatment	suwae リラクシング トリートメント	data/products/images/スワエ_リラクシング_トリートメント_200g.jpg	milbon-suwae-tr
SUWAE	treatment	suwae リラクシング トリートメント+	data/products/images/スワエ_リラクシング_トリートメント_200g.jpg	milbon-suwae-tr-plus
CARENESS	shampoo	ジュエル シャンプー ルビー	data/products/images/ケアネス_ジュエル_シャンプー_〔ルビー〕400ml.jpg	careness-jewel-ruby-sh
